Dataset ID	Sequencing kit	Model system	Cell line	Cell type	Conditions	ENA project	ENA sample	Data size TB	Data grouping notes	Raw data access	Data health check	Data status	Raw H5AD	Additional notes
orion_2025_hek293t	10x Genomics Chromium GEM-X Single Cell 5-prime kit v3	cell_line	HEK293T cell	kidney epithelial cell	Single condition				No public raw-read accession found in SRA/ENA as of 2026-09-10 (Xaira / X-Atlas / Fix-Cryopreserve searches). Author Figshare 29190726 and Hugging Face release contain processed H5AD/Parquet, not sequencing reads. Accession and size left blank (unknown, not zero).	Unavailable	Issues	Legacy		
zhu_2025_D1_rest_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53135085;SAMN53135086;SAMN53135087;SAMN53135088;SAMN53135089;SAMN53299868;SAMN53299869;SAMN53299870;SAMN53299871;SAMN53299872;SAMN53373065;SAMN53373066;SAMN53373067;SAMN53373068;SAMN53373069;SAMN53397159;SAMN53397160;SAMN53397161;SAMN53397162;SAMN53397163;SAMN53531466;SAMN53531467;SAMN53531468;SAMN53531469;SAMN53531470;SAMN53653147;SAMN53653148;SAMN53653149;SAMN54497564;SAMN54497565;SAMN54497566;SAMN54497567;SAMN54497568;SAMN54497569;SAMN54497570;SAMN54497571;SAMN54497572;SAMN54497573;SAMN54497574;SAMN54497575;SAMN54497576;SAMN54497577;SAMN54497578;SAMN54497579;SAMN54497580;SAMN54497581	23.229	Shared CD4i_R1L01-L23 pool: 246 runs; select D1_Rest via BC001-004/CR001-004. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. GEX and CRI cover all 23 GEM lanes. See raw-data-notes.md.	FASTQ + SRA	OK	Not processed		
zhu_2025_D1_stim48hr_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53888478;SAMN53888479;SAMN53888480;SAMN53888481;SAMN53888482;SAMN53888483;SAMN54116535;SAMN54116536;SAMN54116537;SAMN54116538;SAMN54116539;SAMN54116540;SAMN54116562;SAMN54116563;SAMN54116564;SAMN54116565;SAMN54117524;SAMN54117525;SAMN54117526;SAMN54117527;SAMN54117528;SAMN54117529;SAMN54117556;SAMN54117557;SAMN54497602;SAMN54497603;SAMN54497606;SAMN54497608;SAMN54497609;SAMN54497610;SAMN54497612;SAMN54497613;SAMN54497615;SAMN54497617;SAMN54497618;SAMN54497619;SAMN54497620;SAMN54497621	18.033	Shared CD4i_R2L25-L48 pool: 38 runs; select D1_Stim48hr via BC001-004/CR001-004. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. Guide libraries not found for L25,26,29,30,32,36,39,41,47,48; size covers available files only. GEO titles say 24 hr but probe mapping/author metadata say Stim48hr; resolve before running. See raw-data-notes.md.	FASTQ + SRA	Issues	Not processed		
zhu_2025_D1_stim8hr_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53135085;SAMN53135086;SAMN53135087;SAMN53135088;SAMN53135089;SAMN53299868;SAMN53299869;SAMN53299870;SAMN53299871;SAMN53299872;SAMN53373065;SAMN53373066;SAMN53373067;SAMN53373068;SAMN53373069;SAMN53397159;SAMN53397160;SAMN53397161;SAMN53397162;SAMN53397163;SAMN53531466;SAMN53531467;SAMN53531468;SAMN53531469;SAMN53531470;SAMN53653147;SAMN53653148;SAMN53653149;SAMN54497564;SAMN54497565;SAMN54497566;SAMN54497567;SAMN54497568;SAMN54497569;SAMN54497570;SAMN54497571;SAMN54497572;SAMN54497573;SAMN54497574;SAMN54497575;SAMN54497576;SAMN54497577;SAMN54497578;SAMN54497579;SAMN54497580;SAMN54497581	23.229	Shared CD4i_R1L01-L23 pool: 246 runs; select D1_Stim8hr via BC009-012/CR009-012. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. GEX and CRI cover all 23 GEM lanes. See raw-data-notes.md.	FASTQ + SRA	OK	Not processed		
zhu_2025_D2_rest_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53135085;SAMN53135086;SAMN53135087;SAMN53135088;SAMN53135089;SAMN53299868;SAMN53299869;SAMN53299870;SAMN53299871;SAMN53299872;SAMN53373065;SAMN53373066;SAMN53373067;SAMN53373068;SAMN53373069;SAMN53397159;SAMN53397160;SAMN53397161;SAMN53397162;SAMN53397163;SAMN53531466;SAMN53531467;SAMN53531468;SAMN53531469;SAMN53531470;SAMN53653147;SAMN53653148;SAMN53653149;SAMN54497564;SAMN54497565;SAMN54497566;SAMN54497567;SAMN54497568;SAMN54497569;SAMN54497570;SAMN54497571;SAMN54497572;SAMN54497573;SAMN54497574;SAMN54497575;SAMN54497576;SAMN54497577;SAMN54497578;SAMN54497579;SAMN54497580;SAMN54497581	23.229	Shared CD4i_R1L01-L23 pool: 246 runs; select D2_Rest via BC005-008/CR005-008. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. GEX and CRI cover all 23 GEM lanes. See raw-data-notes.md.	FASTQ + SRA	OK	Not processed		
zhu_2025_D2_stim48hr_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53888478;SAMN53888479;SAMN53888480;SAMN53888481;SAMN53888482;SAMN53888483;SAMN54116535;SAMN54116536;SAMN54116537;SAMN54116538;SAMN54116539;SAMN54116540;SAMN54116562;SAMN54116563;SAMN54116564;SAMN54116565;SAMN54117524;SAMN54117525;SAMN54117526;SAMN54117527;SAMN54117528;SAMN54117529;SAMN54117556;SAMN54117557;SAMN54497602;SAMN54497603;SAMN54497606;SAMN54497608;SAMN54497609;SAMN54497610;SAMN54497612;SAMN54497613;SAMN54497615;SAMN54497617;SAMN54497618;SAMN54497619;SAMN54497620;SAMN54497621	18.033	Shared CD4i_R2L25-L48 pool: 38 runs; select D2_Stim48hr via BC005-008/CR005-008. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. Guide libraries not found for L25,26,29,30,32,36,39,41,47,48; size covers available files only. GEO titles say 24 hr but probe mapping/author metadata say Stim48hr; resolve before running. See raw-data-notes.md.	FASTQ + SRA	Issues	Not processed		
zhu_2025_D2_stim8hr_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53135085;SAMN53135086;SAMN53135087;SAMN53135088;SAMN53135089;SAMN53299868;SAMN53299869;SAMN53299870;SAMN53299871;SAMN53299872;SAMN53373065;SAMN53373066;SAMN53373067;SAMN53373068;SAMN53373069;SAMN53397159;SAMN53397160;SAMN53397161;SAMN53397162;SAMN53397163;SAMN53531466;SAMN53531467;SAMN53531468;SAMN53531469;SAMN53531470;SAMN53653147;SAMN53653148;SAMN53653149;SAMN54497564;SAMN54497565;SAMN54497566;SAMN54497567;SAMN54497568;SAMN54497569;SAMN54497570;SAMN54497571;SAMN54497572;SAMN54497573;SAMN54497574;SAMN54497575;SAMN54497576;SAMN54497577;SAMN54497578;SAMN54497579;SAMN54497580;SAMN54497581	23.229	Shared CD4i_R1L01-L23 pool: 246 runs; select D2_Stim8hr via BC013-016/CR013-016. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. GEX and CRI cover all 23 GEM lanes. See raw-data-notes.md.	FASTQ + SRA	OK	Not processed		
zhu_2025_D3_rest_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53653150;SAMN53653151;SAMN53674395;SAMN53674396;SAMN53674397;SAMN53674398;SAMN53674399;SAMN53674400;SAMN53795497;SAMN53795499;SAMN53795501;SAMN53795503;SAMN53795505;SAMN53795507;SAMN53797184;SAMN53797185;SAMN53797186;SAMN53797187;SAMN53797188;SAMN53797189;SAMN54117552;SAMN54117553;SAMN54117554;SAMN54117555;SAMN54497582;SAMN54497583;SAMN54497584;SAMN54497585;SAMN54497586;SAMN54497587;SAMN54497590;SAMN54497591;SAMN54497592;SAMN54497593;SAMN54497594;SAMN54497595;SAMN54497596;SAMN54497597;SAMN54497598;SAMN54497599	18.794	Shared CD4i_R2L01-L24 pool: 40 runs; select D3_Rest via BC001-004/CR001-004. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. Guide libraries not found for L07-L14; size covers available files only. See raw-data-notes.md.	FASTQ + SRA	Issues	Not processed		
zhu_2025_D3_stim48hr_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53888478;SAMN53888479;SAMN53888480;SAMN53888481;SAMN53888482;SAMN53888483;SAMN54116535;SAMN54116536;SAMN54116537;SAMN54116538;SAMN54116539;SAMN54116540;SAMN54116562;SAMN54116563;SAMN54116564;SAMN54116565;SAMN54117524;SAMN54117525;SAMN54117526;SAMN54117527;SAMN54117528;SAMN54117529;SAMN54117556;SAMN54117557;SAMN54497602;SAMN54497603;SAMN54497606;SAMN54497608;SAMN54497609;SAMN54497610;SAMN54497612;SAMN54497613;SAMN54497615;SAMN54497617;SAMN54497618;SAMN54497619;SAMN54497620;SAMN54497621	18.033	Shared CD4i_R2L25-L48 pool: 38 runs; select D3_Stim48hr via BC009-012/CR009-012. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. Guide libraries not found for L25,26,29,30,32,36,39,41,47,48; size covers available files only. GEO titles say 24 hr but probe mapping/author metadata say Stim48hr; resolve before running. See raw-data-notes.md.	FASTQ + SRA	Issues	Not processed		
zhu_2025_D3_stim8hr_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53653150;SAMN53653151;SAMN53674395;SAMN53674396;SAMN53674397;SAMN53674398;SAMN53674399;SAMN53674400;SAMN53795497;SAMN53795499;SAMN53795501;SAMN53795503;SAMN53795505;SAMN53795507;SAMN53797184;SAMN53797185;SAMN53797186;SAMN53797187;SAMN53797188;SAMN53797189;SAMN54117552;SAMN54117553;SAMN54117554;SAMN54117555;SAMN54497582;SAMN54497583;SAMN54497584;SAMN54497585;SAMN54497586;SAMN54497587;SAMN54497590;SAMN54497591;SAMN54497592;SAMN54497593;SAMN54497594;SAMN54497595;SAMN54497596;SAMN54497597;SAMN54497598;SAMN54497599	18.794	Shared CD4i_R2L01-L24 pool: 40 runs; select D3_Stim8hr via BC009-012/CR009-012. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. Guide libraries not found for L07-L14; size covers available files only. See raw-data-notes.md.	FASTQ + SRA	Issues	Not processed		
zhu_2025_D4_rest_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53653150;SAMN53653151;SAMN53674395;SAMN53674396;SAMN53674397;SAMN53674398;SAMN53674399;SAMN53674400;SAMN53795497;SAMN53795499;SAMN53795501;SAMN53795503;SAMN53795505;SAMN53795507;SAMN53797184;SAMN53797185;SAMN53797186;SAMN53797187;SAMN53797188;SAMN53797189;SAMN54117552;SAMN54117553;SAMN54117554;SAMN54117555;SAMN54497582;SAMN54497583;SAMN54497584;SAMN54497585;SAMN54497586;SAMN54497587;SAMN54497590;SAMN54497591;SAMN54497592;SAMN54497593;SAMN54497594;SAMN54497595;SAMN54497596;SAMN54497597;SAMN54497598;SAMN54497599	18.794	Shared CD4i_R2L01-L24 pool: 40 runs; select D4_Rest via BC005-008/CR005-008. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. Guide libraries not found for L07-L14; size covers available files only. See raw-data-notes.md.	FASTQ + SRA	Issues	Not processed		
zhu_2025_D4_stim48hr_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53888478;SAMN53888479;SAMN53888480;SAMN53888481;SAMN53888482;SAMN53888483;SAMN54116535;SAMN54116536;SAMN54116537;SAMN54116538;SAMN54116539;SAMN54116540;SAMN54116562;SAMN54116563;SAMN54116564;SAMN54116565;SAMN54117524;SAMN54117525;SAMN54117526;SAMN54117527;SAMN54117528;SAMN54117529;SAMN54117556;SAMN54117557;SAMN54497602;SAMN54497603;SAMN54497606;SAMN54497608;SAMN54497609;SAMN54497610;SAMN54497612;SAMN54497613;SAMN54497615;SAMN54497617;SAMN54497618;SAMN54497619;SAMN54497620;SAMN54497621	18.033	Shared CD4i_R2L25-L48 pool: 38 runs; select D4_Stim48hr via BC013-016/CR013-016. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. Guide libraries not found for L25,26,29,30,32,36,39,41,47,48; size covers available files only. GEO titles say 24 hr but probe mapping/author metadata say Stim48hr; resolve before running. See raw-data-notes.md.	FASTQ + SRA	Issues	Not processed		
zhu_2025_D4_stim8hr_cl	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Single condition	PRJNA1359008	SAMN53653150;SAMN53653151;SAMN53674395;SAMN53674396;SAMN53674397;SAMN53674398;SAMN53674399;SAMN53674400;SAMN53795497;SAMN53795499;SAMN53795501;SAMN53795503;SAMN53795505;SAMN53795507;SAMN53797184;SAMN53797185;SAMN53797186;SAMN53797187;SAMN53797188;SAMN53797189;SAMN54117552;SAMN54117553;SAMN54117554;SAMN54117555;SAMN54497582;SAMN54497583;SAMN54497584;SAMN54497585;SAMN54497586;SAMN54497587;SAMN54497590;SAMN54497591;SAMN54497592;SAMN54497593;SAMN54497594;SAMN54497595;SAMN54497596;SAMN54497597;SAMN54497598;SAMN54497599	18.794	Shared CD4i_R2L01-L24 pool: 40 runs; select D4_Stim8hr via BC013-016/CR013-016. Size is whole shared pool (source GEX FASTQ + CRI SRA), not per donor; count once. Flex/Ultima demultiplexing required. Guide libraries not found for L07-L14; size covers available files only. See raw-data-notes.md.	FASTQ + SRA	Issues	Not processed		
adamson_2016_upr_epistasis	10x Genomics Single Cell 3-prime v1	cell_line	K 562 cell	lymphoblast	Requires split: DMSO, tunicamycin and thapsigargin contexts have separate matched controls; combinatorial perturbations are allowed					Not checked	Not checked	Legacy		
song_2025_jurkat_hiv	10x Genomics Single Cell 3-prime v3	cell_line	JURKAT cell	T cell	Requires split: DMSO, PMA/ionomycin GFP-positive and PMA/ionomycin GFP-negative populations need context-matched controls					Not checked	Not checked	Not processed		
frangieh_2021_raw	10x Genomics Single Cell 3-prime v3	primary_cell	N/A	melanoma cell	Requires split: untreated, IFNg-treated and IFNg-pretreated/TIL co-culture populations need context-matched controls					Not checked	Not checked	Not processed		
arce_2025	10x Genomics Chromium Next GEM Single Cell 5-prime HT Kit v2	primary_cell	N/A	CD4-positive, CD25-positive, alpha-beta regulatory T cell,effector CD4-positive, alpha-beta T cell	Requires split: Treg/Teff and resting/48-hour CD3/CD28/CD2-restimulated contexts need matched controls; preserve donor identity	PRJNA1167803	(24 samples)	11.8	24 samples appear to correspond to actual samples (infer from sample_title): * 8 GEX: gene expression * 8 CRISPR: sgRNA (which perturbation) * CSP: cell surface protein → detect immune state	Not checked	Not checked	Legacy		(CD4+ T-effector and T-regulatory) × (Resting vs Stimulated) - needs to be separated according to CSP analysis
zhu_2025_pseudobulk	10x Genomics Chromium GEM-X Flex v1	primary_cell	N/A	CD4-positive, alpha-beta T cell	Requires split: resting, 8-hour and 48-hour stimulated contexts need matched controls; preserve four-donor identity					Not checked	Not checked	Not processed		
datlinger_2017	Nextera XT DNA Library Preparation Kit	cell_line	JURKAT cell	T cell	Requires split: untreated and anti-CD3/anti-CD28-stimulated Jurkat contexts need matched controls					Not checked	Not checked	Legacy		
jiang_2025	Parse Biosciences Evercode Whole Transcriptome Mega v1 kit	cell_line	A549 cell,HT-29 cell,K 562 cell,MCF7 cell,HAP-1,BxPC-3 cell	pulmonary alveolar type 2 cell,enterocyte,luminal epithelial cell of mammary gland,lymphoblast,myeloid cell	Requires split: six cell lines x five 24-hour pathway-stimulus contexts need matched controls					Not checked	Not checked	Not processed		
